project_type,department,state,district,approved_budget,amount_claimed,amount_released,work_completion_percent,expected_completion_days,actual_days_since_start,delay_ratio,invoice_count,average_invoice_amount,largest_invoice_amount,payment_frequency_per_month,same_vendor_invoice_count,inspection_status,last_inspection_days_ago,geo_tagged_proof_submitted,proof_document_count,complaints_count,contractor_previous_projects,contractor_avg_delay_days,contractor_avg_budget_overrun,contractor_blacklist_flag,approved_work_quantity,claimed_work_quantity,verified_work_quantity,quantity_mismatch_ratio,budget_claim_ratio,fraud_score,fraud_label
Welfare Distribution,Social Welfare Department,Maharashtra,Nagpur,13321071.07,6119015.63,6098193.89,85.59,290,95,0.3276,36,169972.66,745328.16,0.55,2,Completed,73,1,33,12,16,34.96,0.02,0,112954.04,105768.55,101797.28,0.0352,0.4593,0.0134,0
Electricity Infrastructure,Energy Department,Uttar Pradesh,Prayagraj,34603727.76,48169942.73,39153403.47,33.35,1063,1532,1.4412,164,293719.16,980216.43,6.58,63,Completed,281,0,5,40,37,198.51,0.38,1,187116.16,352342.74,81505.44,1.4474,1.392,0.8843,1
Electricity Infrastructure,Energy Department,Rajasthan,Kota,91770856.96,75400228.95,49296447.3,5.56,547,1015,1.8556,37,2037844.03,10744880.03,2.46,76,Pending,257,0,0,26,55,179.51,0.6,0,78520.84,110984.47,29814.4,1.0337,0.8216,0.7306,1
Hospital Development,Health Department,Gujarat,Surat,9402019.78,9105665.62,7599925.33,57.12,691,670,0.9696,40,227641.64,969806.26,0.84,43,Completed,187,1,13,50,81,60.58,0.34,1,214970.76,379725.43,153175.36,1.0539,0.9685,0.5198,0
Bridge Construction,Public Works Department,Karnataka,Bengaluru,62844198.74,48390581.69,44356331.88,59.76,950,706,0.7432,28,1728235.06,10338432.08,3.1,3,Pending,285,1,26,12,91,31.32,0.01,0,216170.84,238554.69,191362.63,0.2183,0.77,0.1791,0
Drainage System,Municipal Administration,Karnataka,Bengaluru,34358195.39,8142661.53,6645452.41,55.36,780,655,0.8397,47,173248.12,1026914.03,6.8,10,Completed,267,1,30,12,73,28.02,0.19,0,58866.36,54995.19,58475.1,-0.0591,0.237,0.0311,0
Welfare Distribution,Social Welfare Department,Tamil Nadu,Coimbatore,53799896.72,34289349.88,31397661.1,36.55,829,605,0.7298,32,1071542.18,2921438.98,1.95,6,Pending,89,1,13,1,6,33.0,0.02,0,205040.94,228827.72,183595.91,0.2206,0.6373,0.2187,0
Road Construction,Public Works Department,Maharashtra,Nagpur,81305935.0,65034710.82,50309173.31,56.36,496,390,0.7863,31,2097893.9,11350681.92,2.68,13,Completed,78,1,14,6,51,44.33,0.19,0,161369.94,179577.64,167150.13,0.077,0.7999,0.0848,0
Drainage System,Municipal Administration,Telangana,Karimnagar,69955325.15,26678020.61,19145658.49,56.7,858,538,0.627,53,503358.88,1829592.04,8.47,6,Completed,360,1,35,2,13,42.42,0.2,0,216279.93,217512.25,218604.42,-0.005,0.3814,0.0719,0
Drainage System,Municipal Administration,Maharashtra,Nagpur,63517523.23,61389335.57,54883923.09,42.9,448,361,0.8058,25,2455573.42,14513754.64,1.54,18,Completed,136,1,80,3,6,33.73,0.21,0,235674.08,215539.32,205651.51,0.042,0.9665,0.1909,0
Drainage System,Municipal Administration,Rajasthan,Kota,53032910.07,70333056.85,49210773.65,13.32,82,69,0.8415,121,581264.93,2504655.97,5.66,98,Pending,306,1,37,77,100,135.63,0.69,1,58753.55,82663.28,38370.53,0.7539,1.3262,0.8208,1
Hospital Development,Health Department,Uttar Pradesh,Agra,98520698.46,87602753.44,73588798.33,72.81,148,72,0.4865,18,4866819.64,6961705.47,1.42,16,Completed,31,1,28,1,16,12.16,0.14,0,131866.08,118958.61,110879.96,0.0613,0.8892,0.0616,0
Bridge Construction,Public Works Department,Tamil Nadu,Madurai,50311244.71,66590568.71,50756572.27,24.38,968,1813,1.8729,154,432406.29,1090927.28,0.73,32,Completed,321,0,2,35,99,199.68,0.49,0,246290.73,350085.84,110845.13,0.9714,1.3236,0.7691,1
Welfare Distribution,Social Welfare Department,Madhya Pradesh,Bhopal,3213370.42,2815818.91,2736804.24,53.85,486,504,1.037,17,165636.41,727108.23,0.77,0,Completed,45,0,9,3,15,27.54,0.01,0,6977.11,7135.76,6740.05,0.0567,0.8763,0.161,0
School Building,Education Department,Madhya Pradesh,Gwalior,95075512.66,100703865.04,65216293.83,26.76,203,199,0.9803,120,839198.88,2123650.15,7.85,31,Pending,55,0,4,77,38,132.24,0.71,1,122796.82,190449.11,70939.45,0.9732,1.0592,0.7798,1
Hospital Development,Health Department,Tamil Nadu,Salem,43901479.18,23618298.48,18482223.39,54.49,686,678,0.9883,55,429423.61,811792.49,6.71,16,Completed,325,1,44,11,48,25.63,0.05,0,172839.91,169450.86,169900.16,-0.0026,0.538,0.0668,0
Electricity Infrastructure,Energy Department,Maharashtra,Aurangabad,61380312.15,61562842.18,47348714.35,56.68,857,1102,1.2859,145,424571.33,2302376.35,3.51,105,Pending,129,0,6,83,81,67.89,0.39,1,216667.25,390527.87,120009.09,1.2485,1.003,0.8572,1
Water Pipeline,Water Resources Department,Kerala,Thrissur,53605710.5,45026122.54,35342936.03,87.6,441,119,0.2698,54,833817.08,3178276.38,1.46,0,Completed,29,1,73,11,74,38.66,0.05,0,113519.63,102619.06,96669.35,0.0524,0.84,0.0698,0
Water Pipeline,Water Resources Department,Madhya Pradesh,Indore,9612085.53,3329723.09,3239220.23,92.52,419,243,0.58,50,66594.46,256903.54,5.11,0,Completed,149,1,60,11,88,17.8,0.08,0,233919.95,233943.22,221291.0,0.0541,0.3464,0.044,0
Drainage System,Municipal Administration,Andhra Pradesh,Visakhapatnam,43371687.68,8949027.83,6632800.46,70.32,142,49,0.3451,47,190404.85,268957.03,3.45,13,Pending,250,1,49,0,96,20.81,0.19,0,114657.09,119281.43,102836.44,0.1434,0.2063,0.1056,0
Hospital Development,Health Department,Kerala,Thiruvananthapuram,22429180.7,16994615.71,11968124.82,71.24,612,378,0.6176,3,5664871.9,9055173.3,6.38,17,Completed,302,1,21,6,13,10.73,0.18,0,218301.01,232249.56,225580.43,0.0306,0.7577,0.0732,0
Welfare Distribution,Social Welfare Department,Karnataka,Hubballi,33941188.82,29526836.04,28835208.21,36.97,426,91,0.2136,40,738170.9,4057377.36,3.76,8,Completed,75,1,40,7,40,38.24,0.13,0,109101.13,121560.51,107097.75,0.1326,0.8699,0.1888,0
Bridge Construction,Public Works Department,Uttar Pradesh,Prayagraj,10849929.03,7456336.92,5996235.93,68.55,184,117,0.6359,22,338924.41,1151828.01,4.49,4,Pending,10,1,49,8,53,39.24,0.18,0,11221.02,10334.68,11667.7,-0.1188,0.6872,0.152,0
Hospital Development,Health Department,Andhra Pradesh,Vijayawada,94186220.43,71225846.52,67676664.14,48.98,80,90,1.125,22,3237538.48,18893138.3,1.62,1,Completed,217,1,57,4,65,39.3,0.05,0,147033.91,146906.3,139612.87,0.0496,0.7562,0.0878,0
Welfare Distribution,Social Welfare Department,Kerala,Thrissur,82735360.89,75838637.74,46401704.12,48.5,498,740,1.4859,156,486145.11,2775436.51,4.35,109,Failed,70,1,7,27,29,171.98,0.73,1,167619.41,262393.54,96862.76,0.9875,0.9166,0.8013,1
School Building,Education Department,Kerala,Kozhikode,84670405.65,110532400.31,71504274.71,39.51,1018,1048,1.0295,30,3684413.34,12123972.37,0.59,14,Pending,15,0,8,73,59,48.13,0.18,1,160539.49,300720.97,116916.59,1.1449,1.3054,0.7932,1
Bridge Construction,Public Works Department,Uttar Pradesh,Lucknow,38304901.22,38982879.72,33519379.06,51.41,639,291,0.4554,5,7796575.94,39657028.91,6.5,11,Completed,91,1,44,12,4,3.53,0.2,1,80403.55,82520.13,84421.07,-0.0236,1.0177,0.3333,0
Hospital Development,Health Department,Rajasthan,Udaipur,48141928.58,54079810.79,49733243.52,7.06,112,135,1.2054,109,496145.05,1804474.33,8.93,70,Completed,289,0,3,67,50,165.2,0.38,1,108901.06,192435.84,52063.03,1.289,1.1233,0.8129,1
Housing Scheme,Housing Department,Kerala,Kochi,69543407.55,60779704.27,45727582.05,97.18,103,96,0.932,37,1642694.71,5731866.13,2.62,15,Completed,216,1,55,3,100,1.62,0.02,0,115866.82,129470.28,112149.26,0.1495,0.874,0.0758,0
Hospital Development,Health Department,Kerala,Thiruvananthapuram,48470293.37,35928410.21,35879148.79,70.45,566,564,0.9965,9,3992045.58,8861822.98,7.14,0,Completed,270,0,7,0,66,2.54,0.21,0,205762.04,208291.33,205034.96,0.0158,0.7412,0.1215,0
Water Pipeline,Water Resources Department,Uttar Pradesh,Varanasi,65391553.34,32939254.37,23793015.05,48.39,658,450,0.6839,4,8234813.59,43892083.47,4.04,3,Completed,346,1,75,6,13,34.66,0.05,0,137437.67,127751.4,125578.49,0.0158,0.5037,0.0,0
Housing Scheme,Housing Department,Telangana,Khammam,61449803.4,28181948.49,20442454.53,99.72,423,411,0.9716,46,612651.05,1650135.84,5.11,0,Completed,30,1,37,7,62,39.82,0.13,0,240185.67,228881.15,216171.79,0.0529,0.4586,0.0823,0
Electricity Infrastructure,Energy Department,Kerala,Thiruvananthapuram,23588487.54,34617746.11,17651585.61,50.74,418,710,1.6986,143,242082.14,1142549.0,2.06,24,Pending,259,0,1,55,87,49.23,0.33,0,241671.03,425553.42,137328.67,1.1926,1.4676,0.862,1
Bridge Construction,Public Works Department,Uttar Pradesh,Agra,3608216.45,3140444.63,2532962.3,46.65,173,127,0.7341,45,69787.66,372565.68,5.41,8,Pending,32,1,77,10,37,42.53,0.08,0,219419.51,239861.24,223349.02,0.0753,0.8704,0.2129,0
Welfare Distribution,Social Welfare Department,Madhya Pradesh,Ujjain,42129966.44,52427840.43,30620888.39,9.92,114,128,1.1228,180,291265.78,1019079.24,2.53,41,Failed,332,0,1,51,84,153.21,0.65,1,236369.2,348692.85,123507.33,0.9527,1.2444,0.9522,1
Drainage System,Municipal Administration,Kerala,Thiruvananthapuram,29389890.11,11762991.42,11556936.54,97.53,961,511,0.5317,30,392099.71,1699416.71,1.35,1,Completed,224,1,41,4,95,26.54,0.13,0,184168.29,169881.36,155536.3,0.0779,0.4002,0.0557,0
Welfare Distribution,Social Welfare Department,Tamil Nadu,Coimbatore,4311838.96,3190985.74,2740728.25,80.41,536,222,0.4142,22,145044.81,627233.24,6.17,14,Completed,364,1,61,3,68,6.19,0.08,0,210713.37,234897.93,220007.26,0.0707,0.7401,0.0888,0
Water Pipeline,Water Resources Department,Karnataka,Mysuru,83161505.1,65982374.5,49862125.89,55.9,931,450,0.4834,21,3142017.83,15421129.92,2.98,8,Pending,335,1,20,12,7,42.94,0.14,0,184966.29,182996.59,180151.67,0.0154,0.7934,0.1777,0
Welfare Distribution,Social Welfare Department,Gujarat,Ahmedabad,27126807.81,27728012.76,26661079.49,73.47,895,1062,1.1866,43,644837.51,2858342.72,8.83,17,Pending,261,1,22,9,66,35.31,0.19,0,73725.79,73375.8,62453.25,0.1482,1.0222,0.2221,0
Road Construction,Public Works Department,Andhra Pradesh,Vijayawada,11822517.93,15817051.58,7385122.48,46.32,428,588,1.3738,58,272707.79,1121808.92,3.69,105,Pending,204,0,7,79,56,65.88,0.55,1,215254.16,286374.87,144311.63,0.66,1.3379,0.8816,1
Electricity Infrastructure,Energy Department,Kerala,Kozhikode,73914083.56,95118537.62,59698429.75,38.83,690,957,1.387,158,602016.06,2629750.56,0.67,110,Failed,157,1,32,12,86,137.31,0.6,1,193853.12,321719.3,68749.82,1.305,1.2869,0.8487,1
Drainage System,Municipal Administration,Maharashtra,Pune,26012007.05,11130922.02,8393032.98,79.63,883,829,0.9388,19,585838.0,1073016.02,1.18,13,Pending,92,1,53,11,14,40.93,0.16,0,231554.09,217450.5,225163.88,-0.0333,0.4279,0.0971,0
Welfare Distribution,Social Welfare Department,Madhya Pradesh,Ujjain,99516780.64,73418846.73,55291739.74,78.46,606,555,0.9158,13,5647603.59,22473931.61,8.68,7,Completed,17,0,8,10,18,23.56,0.11,0,162834.91,147507.98,140794.41,0.0412,0.7378,0.141,0
Water Pipeline,Water Resources Department,Gujarat,Vadodara,70833949.46,64719337.09,58667549.91,40.2,107,65,0.6075,45,1438207.49,7700954.96,6.99,11,Completed,213,1,58,11,79,29.3,0.16,0,133933.66,124452.92,137826.05,-0.0998,0.9137,0.1737,0
School Building,Education Department,Telangana,Hyderabad,86830400.0,50784429.67,48882020.33,68.84,975,1134,1.1631,18,2821357.2,10909108.16,7.33,14,Completed,301,0,10,11,36,28.05,0.18,0,165106.72,149028.41,163724.4,-0.089,0.5849,0.1531,0
Welfare Distribution,Social Welfare Department,Madhya Pradesh,Jabalpur,62041911.6,21650422.78,17475267.54,87.62,354,415,1.1723,48,451050.47,2170950.11,7.91,15,Completed,271,1,14,12,13,24.9,0.12,0,143647.74,134748.96,141428.57,-0.0465,0.349,0.0702,0
Housing Scheme,Housing Department,Karnataka,Mangaluru,36626331.4,20784789.32,17588963.23,72.66,856,183,0.2138,55,377905.26,2108991.27,3.15,3,Completed,187,1,56,0,61,34.23,0.1,1,231552.02,227373.16,211211.83,0.0698,0.5675,0.2032,0
Road Construction,Public Works Department,Telangana,Hyderabad,89676312.76,87633493.56,70955659.95,29.08,300,407,1.3567,95,922457.83,5141561.44,3.39,56,Pending,104,0,8,65,42,51.41,0.43,1,208030.51,253943.4,94900.54,0.7645,0.9772,0.8324,1
Water Pipeline,Water Resources Department,Andhra Pradesh,Guntur,42366050.66,31485376.48,27987403.16,64.41,731,401,0.5486,12,2623781.37,14531482.86,5.56,11,Completed,232,1,66,4,79,8.25,0.12,0,234970.26,249209.59,242749.49,0.0275,0.7432,0.0589,0
Hospital Development,Health Department,Telangana,Warangal,21554130.44,22697826.6,16078639.25,59.61,608,590,0.9704,119,190738.04,911848.64,4.86,77,Pending,89,0,4,29,80,85.77,0.65,1,198975.18,290883.15,115249.98,0.8827,1.0531,0.6439,1
Road Construction,Public Works Department,Andhra Pradesh,Visakhapatnam,71428895.57,83118938.51,71999812.68,44.41,100,200,2.0,86,966499.29,5721680.51,1.31,25,Completed,346,1,38,74,93,135.07,0.72,1,243509.96,448282.23,146095.68,1.241,1.1637,0.8368,1
School Building,Education Department,Andhra Pradesh,Nellore,64319825.68,22149236.95,17027949.11,68.07,993,540,0.5438,35,632835.34,3528008.08,4.2,16,Completed,57,1,55,11,69,31.85,0.08,0,47177.8,45355.38,45482.69,-0.0027,0.3444,0.0768,0
Welfare Distribution,Social Welfare Department,Kerala,Kochi,53614007.77,44533807.71,29318626.95,6.09,1086,1318,1.2136,165,269901.86,696399.99,3.73,83,Failed,36,1,43,70,44,148.36,0.32,0,214437.19,280888.49,139523.61,0.6592,0.8306,0.6692,1
Drainage System,Municipal Administration,Karnataka,Mysuru,99508284.08,105500409.9,86292731.17,21.06,449,806,1.7951,110,959094.64,3777422.79,3.58,85,Completed,58,0,0,33,22,186.31,0.23,1,130635.05,204924.44,103049.04,0.7798,1.0602,0.8163,1
Water Pipeline,Water Resources Department,Karnataka,Hubballi,30749670.28,9897866.73,8095672.02,97.5,789,440,0.5577,19,520940.35,1386017.86,6.32,7,Completed,151,1,29,7,89,16.99,0.15,1,129913.86,136527.65,129545.83,0.0537,0.3219,0.165,0
Welfare Distribution,Social Welfare Department,Madhya Pradesh,Jabalpur,47296752.03,17819870.77,17691116.74,75.7,1024,1221,1.1924,46,387388.49,1579543.58,1.7,12,Completed,271,1,79,9,77,11.64,0.09,0,199094.23,220053.29,191338.0,0.1442,0.3768,0.0921,0
Drainage System,Municipal Administration,Kerala,Kozhikode,70138040.59,54077719.31,42273752.29,82.75,251,213,0.8486,5,10815543.86,21375071.69,8.57,14,Completed,232,1,22,3,41,13.73,0.11,0,714.04,707.17,714.84,-0.0107,0.771,0.0704,0
Water Pipeline,Water Resources Department,Gujarat,Bhavnagar,28606733.65,28140106.82,21167905.09,56.73,311,71,0.2283,10,2814010.68,6842339.08,5.03,7,Completed,90,1,39,9,56,19.08,0.01,0,180305.2,185880.3,184884.92,0.0055,0.9837,0.0963,0
Hospital Development,Health Department,Telangana,Hyderabad,96467976.59,41171742.34,40779045.85,39.77,527,364,0.6907,24,1715489.26,9623585.14,1.16,4,Completed,258,1,32,5,5,26.01,0.11,0,97995.43,101779.83,89349.5,0.1268,0.4268,0.045,0
Water Pipeline,Water Resources Department,Karnataka,Hubballi,44779685.15,52067751.69,45854008.38,48.33,1012,1621,1.6018,44,1183357.99,4704926.66,7.57,77,Pending,94,0,0,27,40,63.92,0.2,1,100516.14,145235.03,47390.31,0.9734,1.1628,0.8273,1
Road Construction,Public Works Department,Rajasthan,Jaipur,17862236.99,19406254.38,10494064.71,10.03,1014,835,0.8235,90,215625.05,996329.46,2.99,82,Completed,45,0,6,84,13,156.24,0.67,1,104015.46,123506.56,76856.05,0.4485,1.0864,0.7428,1
Housing Scheme,Housing Department,Maharashtra,Nagpur,63694039.13,34875351.82,30977996.3,95.28,743,393,0.5289,5,6975070.36,41077780.76,7.01,14,Completed,115,1,44,10,32,4.29,0.14,0,159539.56,151140.06,165132.92,-0.0877,0.5475,0.071,0
Water Pipeline,Water Resources Department,Rajasthan,Udaipur,79079570.14,20614869.99,14801996.93,93.91,773,924,1.1953,44,468519.77,2442599.45,1.79,13,Pending,313,0,6,11,26,15.29,0.08,0,96507.06,96380.01,91027.81,0.0555,0.2607,0.2905,0
Welfare Distribution,Social Welfare Department,Uttar Pradesh,Lucknow,43314908.19,26027711.54,25201180.58,52.57,440,517,1.175,12,2168975.96,7936042.51,8.69,18,Completed,351,0,4,4,2,5.45,0.14,0,88783.33,87599.65,80672.32,0.078,0.6009,0.2057,0
Housing Scheme,Housing Department,Uttar Pradesh,Kanpur,84666920.61,65253231.92,55661771.09,81.07,486,373,0.7675,34,1919212.7,5520687.34,7.14,13,Pending,126,1,47,6,7,23.71,0.08,0,162566.91,178090.27,168296.92,0.0602,0.7707,0.1113,0
School Building,Education Department,Rajasthan,Kota,91639718.55,25705278.01,22399684.62,97.8,719,650,0.904,15,1713685.2,9165437.9,0.85,10,Completed,149,1,39,6,24,44.83,0.01,0,164116.54,159045.14,170709.96,-0.0711,0.2805,0.0138,0
Housing Scheme,Housing Department,Uttar Pradesh,Varanasi,48238471.53,29986874.53,27373121.31,55.83,938,833,0.8881,15,1999124.97,9184934.35,5.52,11,Completed,313,1,12,6,18,20.49,0.11,0,49435.21,44785.34,50804.76,-0.1218,0.6216,0.0919,0
Hospital Development,Health Department,Rajasthan,Jaipur,72845693.1,56066049.18,48615860.68,95.84,127,145,1.1417,34,1649001.45,3829033.24,6.52,15,Completed,355,1,54,5,54,38.68,0.15,0,200529.27,181374.9,173171.04,0.0409,0.7697,0.1089,0
School Building,Education Department,Rajasthan,Jodhpur,61547080.18,54996687.97,42855056.09,47.66,257,83,0.323,21,2618889.9,4184897.15,5.63,1,Completed,284,1,67,8,48,41.98,0.11,0,62954.04,63866.46,64904.83,-0.0165,0.8936,0.0972,0
Bridge Construction,Public Works Department,Maharashtra,Nagpur,1797963.86,1227191.89,963269.54,83.04,508,456,0.8976,19,64589.05,309988.38,1.01,8,Pending,11,1,35,10,59,25.91,0.12,0,216069.94,229116.71,214017.98,0.0699,0.6825,0.0772,0
Electricity Infrastructure,Energy Department,Rajasthan,Udaipur,36518313.36,9621801.59,7477064.93,55.51,181,46,0.2541,42,229090.51,484108.68,4.62,18,Completed,218,1,71,5,29,28.42,0.2,1,176435.59,180432.31,181218.49,-0.0045,0.2635,0.1439,0
Electricity Infrastructure,Energy Department,Karnataka,Hubballi,1634351.13,1550983.79,715114.23,41.4,453,619,1.3664,120,12924.86,64829.82,7.96,88,Failed,146,1,34,36,33,121.96,0.33,0,196359.84,357053.02,96842.3,1.3252,0.949,0.6306,1
Water Pipeline,Water Resources Department,Tamil Nadu,Madurai,82397280.8,23363581.36,16366398.05,74.81,213,207,0.9718,6,3893930.23,6221735.49,0.77,10,Completed,218,1,37,2,93,39.43,0.17,0,123927.2,131015.41,123292.49,0.0623,0.2835,0.0738,0
Drainage System,Municipal Administration,Telangana,Warangal,55991431.98,12356436.14,9801428.47,67.18,256,148,0.5781,37,333957.73,1465586.22,5.62,16,Completed,103,1,53,0,11,22.95,0.17,0,214490.9,217767.36,195921.31,0.1019,0.2207,0.0697,0
School Building,Education Department,Kerala,Thiruvananthapuram,10151524.52,6693319.7,4735509.2,92.11,715,217,0.3035,27,247900.73,1360712.5,7.98,1,Completed,2,1,17,12,100,11.3,0.2,0,211516.12,217062.7,178585.67,0.1819,0.6593,0.0773,0
Hospital Development,Health Department,Gujarat,Rajkot,12204785.75,5157433.19,4705007.45,68.18,271,127,0.4686,38,135721.93,807514.9,6.42,0,Completed,181,0,4,1,61,35.27,0.22,0,125853.59,127964.58,111268.75,0.1327,0.4226,0.1444,0
Road Construction,Public Works Department,Kerala,Kollam,3161603.32,3282526.52,2712324.19,5.59,150,182,1.2133,90,36472.52,161770.8,1.53,109,Pending,259,0,5,67,58,63.39,0.2,1,173373.5,230596.52,74863.39,0.8983,1.0382,0.9629,1
Road Construction,Public Works Department,Maharashtra,Aurangabad,34929873.59,53051228.21,47861597.0,26.04,772,695,0.9003,49,1082678.13,5762463.46,1.29,28,Failed,22,0,7,64,66,185.69,0.61,0,199960.34,267691.3,140909.69,0.634,1.5188,0.7182,1
Welfare Distribution,Social Welfare Department,Uttar Pradesh,Varanasi,5071391.83,5863285.95,4505835.71,32.53,975,1405,1.441,166,35321.0,166786.6,4.46,96,Pending,201,0,4,85,100,32.82,0.4,1,160119.51,202778.36,119623.4,0.5193,1.1561,0.8702,1
Housing Scheme,Housing Department,Andhra Pradesh,Nellore,28982341.53,27666447.86,16688691.33,35.88,371,620,1.6712,59,468922.85,1839774.36,1.22,35,Completed,260,0,1,41,67,149.12,0.68,1,220248.06,376730.15,135206.25,1.0966,0.9546,0.7305,1
Welfare Distribution,Social Welfare Department,Rajasthan,Udaipur,53306148.24,44591867.54,34804028.89,95.23,153,161,1.0523,49,910038.11,2206464.33,2.29,12,Completed,42,1,62,4,4,17.95,0.21,0,157386.53,176259.75,162934.84,0.0847,0.8365,0.0194,0
School Building,Education Department,Andhra Pradesh,Nellore,24273792.08,16787982.5,16476492.69,36.26,908,212,0.2335,14,1199141.61,6538432.3,6.52,17,Completed,280,0,4,0,32,21.01,0.17,0,26524.83,27503.91,25868.89,0.0616,0.6916,0.1593,0
Road Construction,Public Works Department,Tamil Nadu,Madurai,2032126.9,1501291.95,1157938.7,79.6,661,412,0.6233,53,28326.26,52704.26,3.05,5,Completed,290,1,35,4,10,23.73,0.01,0,35382.35,34715.83,31922.95,0.0789,0.7388,0.0566,0
Housing Scheme,Housing Department,Madhya Pradesh,Indore,85593251.21,52464935.27,39256204.44,50.91,314,117,0.3726,11,4769539.57,18076522.36,8.59,15,Completed,169,1,78,5,5,44.32,0.18,0,60981.0,65589.39,58973.69,0.1085,0.613,0.1047,0
Hospital Development,Health Department,Andhra Pradesh,Nellore,94280594.11,20962626.61,20800976.01,56.94,252,188,0.746,26,806254.87,3132876.86,1.67,2,Completed,198,1,25,4,46,6.65,0.15,1,220116.12,205325.11,190532.17,0.0672,0.2223,0.132,0
Electricity Infrastructure,Energy Department,Telangana,Karimnagar,70357432.25,18401864.87,13004514.11,86.17,182,91,0.5,11,1672896.81,7694400.53,7.44,16,Completed,350,1,11,5,8,6.51,0.14,0,226244.07,208183.95,214310.43,-0.0271,0.2615,0.0292,0
Bridge Construction,Public Works Department,Uttar Pradesh,Varanasi,5122893.38,5019201.59,2407511.88,50.68,841,865,1.0285,156,32174.37,79803.2,3.42,31,Pending,170,0,1,54,98,110.03,0.75,1,32322.68,48162.22,20198.31,0.8651,0.9798,0.7114,1
Housing Scheme,Housing Department,Gujarat,Bhavnagar,18615633.48,9105618.38,7038683.64,80.06,102,120,1.1765,52,175108.05,331895.53,0.91,11,Completed,289,1,80,7,69,32.23,0.03,0,146037.66,134559.41,149024.25,-0.099,0.4891,0.0594,0
Drainage System,Municipal Administration,Uttar Pradesh,Varanasi,26232223.45,22903053.39,22884514.11,65.65,774,388,0.5013,48,477146.95,2211394.18,1.06,0,Completed,279,0,7,1,49,30.26,0.08,0,143104.15,147732.95,141985.66,0.0402,0.8731,0.1622,0
